Inconsistancy,FalseAlarm,FalseNegtive
0,0,0
8,4,4
8,7,1
3,3,0
5,5,0
13,10,3
1,0,1
11,8,3
2,2,0
4,4,0
9,5,4
1,0,1
1,0,1
1,1,0
6,5,1
9,3,6
16,12,4
3,2,1
0,0,0
8,6,2
8,4,4
7,6,1
11,10,1
6,5,1
7,3,4
6,3,3
8,7,1
18,11,7
12,9,3
5,5,0
2,2,0
10,9,1
1,1,0
1,1,0
0,0,0
14,9,5
6,4,2
15,11,4
14,10,4
1,1,0
7,5,2
8,2,6
8,4,4
10,9,1
2,0,2
8,7,1
11,11,0
9,5,4
4,4,0
1,1,0
1,0,1
6,6,0
3,3,0
5,3,2
2,1,1
1,1,0
3,2,1
11,10,1
9,7,2
10,8,2
2,1,1
11,10,1
0,0,0
11,9,2
5,5,0
0,0,0
2,1,1
19,14,5
2,2,0
11,8,3
2,2,0
2,1,1
6,5,1
12,9,3
9,6,3
17,14,3
19,12,7
11,8,3
12,6,6
7,3,4
4,2,2
3,3,0
2,2,0
4,1,3
8,7,1
6,5,1
17,13,4
11,10,1
4,3,1
5,5,0
